what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1414389222065
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1414389222065
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1414389222065
java.specification.name,sysinfo,,,"Java Platform API Specification",1414389222065
java.specification.vendor,sysinfo,,,"Oracle Corporation",1414389222065
java.specification.version,sysinfo,,,"1.7",1414389222065
java.vendor,sysinfo,,,"Oracle Corporation",1414389222065
java.version,sysinfo,,,"1.7.0_71",1414389222065
java.vm.info,sysinfo,,,"mixed mode, sharing",1414389222065
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1414389222065
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1414389222065
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1414389222065
java.vm.specification.version,sysinfo,,,"1.7",1414389222065
java.vm.vendor,sysinfo,,,"Oracle Corporation",1414389222065
java.vm.version,sysinfo,,,"24.71-b01",1414389222065
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1414389222104
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1414389222228
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1414389222303
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1414389222332
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1414389222370
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1414389222380
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1414389222730
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1414389222746
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1414389222749
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1414389222801
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1414389222806
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1414389223098
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1414389223750
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1414389223751
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1414389224217
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1414389224429
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1414389224494
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1414389224500
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1414389224911
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1414389226227
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1414389226270
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1414389226271
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1414389226425
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1414389226452
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1414389226455
error,log,,,"A workspace crash was detected. The previous session did not exit normally. Not using saved taglib indexes.",1414389226538
started,bundle,org.eclipse.jst.jsp.core,1.2.204.v201001270045,"org.eclipse.jst.jsp.core",1414389226617
