what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668654904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668658518
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668659780
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668659784
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668659837
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1415668665614
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1415668685772
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1415668695437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1415668698284
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1415668698485
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1415668698949
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1415668704184
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415668708515
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1415668711779
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668712139
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668723413
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1415668724445
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1415668727341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668729891
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668732318
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1415668733025
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1415668733958
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1415668734030
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1415668734095
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1415668734810
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1415668736408
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668747605
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415668750009
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1415668750021
