what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1416116221067
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1416116230727
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1416116233937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116237247
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116238697
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1416116238707
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116242842
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116275377
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416116277430
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1416116279605
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1416116285785
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116290056
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116291647
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1416116291662
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116295851
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116320904
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416116323308
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1416116324361
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1416116324802
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1416116325192
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1416116325726
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1416116327799
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116359655
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116362770
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116366116
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416116368097
