what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065339781
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415065339878
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415065353079
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1415065353350
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1415065353381
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1415065353382
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1415065353736
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065355772
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065355792
started,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1415065360559
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.jst.server.preview.adapter",1415065360563
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1415065360704
opened,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1415065360994
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.102.v20090424,"org.eclipse.jst.server.tomcat.ui",1415065361017
error,log,,,"Error starting server Tomcat v6.0 Server at localhost",1415065368654
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1415065368671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065368757
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065374165
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065379517
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065381002
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1415065383459
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065386867
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065388091
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415065390186
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1415065393118
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1415065400660
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065400685
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065402635
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065403736
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065416841
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1415065420808
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1415065423393
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065424136
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065424145
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415065424929
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415066141268
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415066156491
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1415066169676
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415066176440
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415066183835
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1415066200981
