what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654069034
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654070847
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1413654071022
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654108950
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654140892
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413654153370
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413654159836
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413654166439
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413654185393
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1413654186012
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413654189615
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413654193263
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1413654196752
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654205788
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654222859
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413654227798
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413654236756
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1413654262184
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654269792
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654279239
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654280442
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654368622
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413654382919
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1413654391010
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413654394278
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654425726
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654472616
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654664037
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654817099
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1413654831437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413654835091
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654839878
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654860566
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413654864785
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1413654864990
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654873140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654880167
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1413654881935
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1413654885409
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654898348
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413654940268
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413654944545
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655069367
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655073350
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655073356
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655099525
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655104444
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655116534
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655137122
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655411297
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655414699
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655415665
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655423703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655665602
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655667063
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655704034
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655723367
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655753821
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655771172
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413655772035
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656061073
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656061955
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656152271
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656156936
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656158736
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656159473
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656506401
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656507973
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656509901
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656522154
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656533255
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656535736
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656537591
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656583766
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413656585040
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413657321115
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413657321833
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413657343442
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413657344167
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413657345735
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413657369760
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413657525631
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413657526709
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413659459255
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413659507146
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413659732180
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413659758937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413659763498
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413660479547
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1413660484784
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1413660523761
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413660559988
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413660573363
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413662955320
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413662957886
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1413662969016
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413662999838
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413663047188
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1413663051883
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413663085677
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413663087565
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1413663089760
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1413663102458
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1413663107067
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413663112180
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1413663128259
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1413663128361
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1413663128500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1413663128646
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1413663128798
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1413663128958
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1413663129399
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413663131509
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1413663137556
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663149741
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663150530
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413663153116
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1413663173845
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663190033
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413663194649
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1413663206841
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663221014
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663221605
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663222057
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663222506
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663222814
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663223329
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663224672
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663225374
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663226041
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1413663236946
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1413663238450
