what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825283759
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1414825286729
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1414825288299
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1414825290149
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414825291929
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414825318669
error,log,,,"",1414825346909
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1414825368799
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1414825374849
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414825401079
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825402509
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825583259
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414825588789
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1414825590799
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414825624169
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825640089
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825653009
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1414825661209
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825730119
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825768139
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414825775239
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825779259
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825791789
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1414825793929
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1414825798589
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1414825799659
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414825804769
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414825814150
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1414825839220
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1414825843970
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414825845690
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1414825847930
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825852560
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825854031
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1414825854041
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825858974
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825888276
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1414825896595
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414825927797
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825931348
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825934151
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1414825936782
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825966871
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825973211
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414825973771
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414869128948
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414869147378
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414869325310
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1414869329545
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414869333371
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414869336004
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414869337743
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414869400478
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414869419714
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414869433314
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1414869444024
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414869476534
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414869516334
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414869753764
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414869781724
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1414869791464
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414869839914
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1414869887714
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414870168466
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414870171616
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414870280126
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414870283816
