what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1415734269285
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1415734269286
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1415734269334
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1415734269349
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1415734269350
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1415734269351
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1415734269453
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.201.v201001221931,"org.eclipse.wst.jsdt.web.core",1415734269454
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1415734269476
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1415734269511
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1415734269525
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1415734269526
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1415734269526
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1415734269576
os,sysinfo,,,"win32",1415734269584
arch,sysinfo,,,"x86",1415734269584
ws,sysinfo,,,"win32",1415734269584
locale,sysinfo,,,"en_US",1415734269584
processors,sysinfo,,,"4",1415734269584
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1415734269584
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1415734269584
java.specification.name,sysinfo,,,"Java Platform API Specification",1415734269584
java.specification.vendor,sysinfo,,,"Oracle Corporation",1415734269584
java.specification.version,sysinfo,,,"1.7",1415734269584
java.vendor,sysinfo,,,"Oracle Corporation",1415734269584
java.version,sysinfo,,,"1.7.0_71",1415734269584
java.vm.info,sysinfo,,,"mixed mode, sharing",1415734269584
