what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1414820991835
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414820992175
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414820992235
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414820997555
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821103005
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414821157935
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1414821165415
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1414821198085
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1414821198365
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1414821198435
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414821285465
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821293515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821335015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821338045
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821339386
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821340526
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821426344
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1414821454042
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1414821458109
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1414821458122
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1414821469167
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1414821469257
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1414821469257
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1414821488997
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414821492027
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414821569557
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1414821578767
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1414821579097
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1414821579147
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1414821579147
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1414821579537
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821582337
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821582357
started,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1414821589227
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.jst.server.preview.adapter",1414821589237
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1414821589567
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.102.v20090424,"org.eclipse.jst.server.tomcat.ui",1414821589647
opened,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1414821589967
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1414821592898
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821592998
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821837541
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414821848251
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1414821860031
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1414821878261
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821902511
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821938111
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1414821976481
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414821981141
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414822866064
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414822903504
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414822912084
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414822922514
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1414822927064
